regime	candidate	kind	iteration	sample	side	field	value	unit
strong		configuration				window_length	0.01	s
strong		configuration				auxiliary_source_multiplier	1	fraction
strong		configuration				iteration_cap	10	count
strong		configuration				contraction_threshold	0.80000000000000004	ratio
strong		configuration				hard_iteration_ceiling	20	count
strong		configuration				tolerance	0.0050000000000000001	relative
strong		configuration				damping	0.5	fraction
strong		configuration				equilibrium_solve_tolerance	9.9999999999999995e-07	relative
strong		configuration				radial_cells	8	count
strong		configuration				surface_bins	14	count
strong		configuration				extraction_points_per_axis	49	count
strong		configuration				preparation_wall_time	48.193888757145032	s
strong		configuration				outcome_type	ConvergedNonConfinedError	text
strong		configuration				outcome	equilibrium portfolio converged without a selectable confined branch at exchange 5, sample 1; core cells limited/diverted = (0, 157); selection reason = no_admissible_alternative; availability limited/diverted = (True, False); residuals limited/diverted = (7.607266075789316e-17, 2.942137576018049e-16)	text
strong		branch_selection	1	0	equilibrium	sample_time	0	s
strong		branch_selection	1	0	equilibrium	limited_core_cells	126	count
strong		branch_selection	1	0	equilibrium	diverted_core_cells	157	count
strong		branch_selection	1	0	equilibrium	selected_class	limited	text
strong		branch_selection	1	0	equilibrium	previous_class	none	text
strong		branch_selection	1	0	equilibrium	switched	false	text
strong		branch_selection	1	0	equilibrium	reason	sole_valid	text
strong		branch_selection	1	0	equilibrium	limited_available	true	boolean
strong		branch_selection	1	0	equilibrium	diverted_available	false	boolean
strong		branch_selection	1	0	equilibrium	limited_admissible	true	boolean
strong		branch_selection	1	0	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	1	0	equilibrium	limited_residual	1.4566846697679485e-14	relative
strong		branch_selection	1	0	equilibrium	diverted_residual	4.0756513704185692e-16	relative
strong		branch_selection	1	1	equilibrium	sample_time	0.01	s
strong		branch_selection	1	1	equilibrium	limited_core_cells	133	count
strong		branch_selection	1	1	equilibrium	diverted_core_cells	157	count
strong		branch_selection	1	1	equilibrium	selected_class	limited	text
strong		branch_selection	1	1	equilibrium	previous_class	limited	text
strong		branch_selection	1	1	equilibrium	switched	false	text
strong		branch_selection	1	1	equilibrium	reason	history_continuity	text
strong		branch_selection	1	1	equilibrium	limited_available	true	boolean
strong		branch_selection	1	1	equilibrium	diverted_available	false	boolean
strong		branch_selection	1	1	equilibrium	limited_admissible	true	boolean
strong		branch_selection	1	1	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	1	1	equilibrium	limited_residual	7.8711617624257372e-16	relative
strong		branch_selection	1	1	equilibrium	diverted_residual	2.7524271573400452e-16	relative
strong		branch_selection	2	0	equilibrium	sample_time	0	s
strong		branch_selection	2	0	equilibrium	limited_core_cells	126	count
strong		branch_selection	2	0	equilibrium	diverted_core_cells	157	count
strong		branch_selection	2	0	equilibrium	selected_class	limited	text
strong		branch_selection	2	0	equilibrium	previous_class	none	text
strong		branch_selection	2	0	equilibrium	switched	false	text
strong		branch_selection	2	0	equilibrium	reason	sole_valid	text
strong		branch_selection	2	0	equilibrium	limited_available	true	boolean
strong		branch_selection	2	0	equilibrium	diverted_available	false	boolean
strong		branch_selection	2	0	equilibrium	limited_admissible	true	boolean
strong		branch_selection	2	0	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	2	0	equilibrium	limited_residual	1.4566846697679485e-14	relative
strong		branch_selection	2	0	equilibrium	diverted_residual	4.0756513704185692e-16	relative
strong		branch_selection	2	1	equilibrium	sample_time	0.01	s
strong		branch_selection	2	1	equilibrium	limited_core_cells	135	count
strong		branch_selection	2	1	equilibrium	diverted_core_cells	157	count
strong		branch_selection	2	1	equilibrium	selected_class	limited	text
strong		branch_selection	2	1	equilibrium	previous_class	limited	text
strong		branch_selection	2	1	equilibrium	switched	false	text
strong		branch_selection	2	1	equilibrium	reason	history_continuity	text
strong		branch_selection	2	1	equilibrium	limited_available	true	boolean
strong		branch_selection	2	1	equilibrium	diverted_available	false	boolean
strong		branch_selection	2	1	equilibrium	limited_admissible	true	boolean
strong		branch_selection	2	1	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	2	1	equilibrium	limited_residual	7.8886971127455822e-16	relative
strong		branch_selection	2	1	equilibrium	diverted_residual	4.2285691316753316e-16	relative
strong		branch_selection	3	0	equilibrium	sample_time	0	s
strong		branch_selection	3	0	equilibrium	limited_core_cells	126	count
strong		branch_selection	3	0	equilibrium	diverted_core_cells	157	count
strong		branch_selection	3	0	equilibrium	selected_class	limited	text
strong		branch_selection	3	0	equilibrium	previous_class	none	text
strong		branch_selection	3	0	equilibrium	switched	false	text
strong		branch_selection	3	0	equilibrium	reason	sole_valid	text
strong		branch_selection	3	0	equilibrium	limited_available	true	boolean
strong		branch_selection	3	0	equilibrium	diverted_available	false	boolean
strong		branch_selection	3	0	equilibrium	limited_admissible	true	boolean
strong		branch_selection	3	0	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	3	0	equilibrium	limited_residual	1.4566846697679485e-14	relative
strong		branch_selection	3	0	equilibrium	diverted_residual	4.0756513704185692e-16	relative
strong		branch_selection	3	1	equilibrium	sample_time	0.01	s
strong		branch_selection	3	1	equilibrium	limited_core_cells	145	count
strong		branch_selection	3	1	equilibrium	diverted_core_cells	157	count
strong		branch_selection	3	1	equilibrium	selected_class	limited	text
strong		branch_selection	3	1	equilibrium	previous_class	limited	text
strong		branch_selection	3	1	equilibrium	switched	false	text
strong		branch_selection	3	1	equilibrium	reason	history_continuity	text
strong		branch_selection	3	1	equilibrium	limited_available	true	boolean
strong		branch_selection	3	1	equilibrium	diverted_available	false	boolean
strong		branch_selection	3	1	equilibrium	limited_admissible	true	boolean
strong		branch_selection	3	1	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	3	1	equilibrium	limited_residual	1.1825041348092582e-15	relative
strong		branch_selection	3	1	equilibrium	diverted_residual	1.435221847925257e-16	relative
strong		branch_selection	4	0	equilibrium	sample_time	0	s
strong		branch_selection	4	0	equilibrium	limited_core_cells	126	count
strong		branch_selection	4	0	equilibrium	diverted_core_cells	157	count
strong		branch_selection	4	0	equilibrium	selected_class	limited	text
strong		branch_selection	4	0	equilibrium	previous_class	none	text
strong		branch_selection	4	0	equilibrium	switched	false	text
strong		branch_selection	4	0	equilibrium	reason	sole_valid	text
strong		branch_selection	4	0	equilibrium	limited_available	true	boolean
strong		branch_selection	4	0	equilibrium	diverted_available	false	boolean
strong		branch_selection	4	0	equilibrium	limited_admissible	true	boolean
strong		branch_selection	4	0	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	4	0	equilibrium	limited_residual	1.4566846697679485e-14	relative
strong		branch_selection	4	0	equilibrium	diverted_residual	4.0756513704185692e-16	relative
strong		branch_selection	4	1	equilibrium	sample_time	0.01	s
strong		branch_selection	4	1	equilibrium	limited_core_cells	145	count
strong		branch_selection	4	1	equilibrium	diverted_core_cells	157	count
strong		branch_selection	4	1	equilibrium	selected_class	limited	text
strong		branch_selection	4	1	equilibrium	previous_class	limited	text
strong		branch_selection	4	1	equilibrium	switched	false	text
strong		branch_selection	4	1	equilibrium	reason	history_continuity	text
strong		branch_selection	4	1	equilibrium	limited_available	true	boolean
strong		branch_selection	4	1	equilibrium	diverted_available	false	boolean
strong		branch_selection	4	1	equilibrium	limited_admissible	true	boolean
strong		branch_selection	4	1	equilibrium	diverted_admissible	true	boolean
strong		branch_selection	4	1	equilibrium	limited_residual	9.8676334731307494e-16	relative
strong		branch_selection	4	1	equilibrium	diverted_residual	4.3669431375303254e-16	relative
strong		branch_selection	5	1	equilibrium	sample_time	0.01	s
strong		branch_selection	5	1	equilibrium	limited_core_cells	0	count
